"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-09T13:01:51.414531Z",1,6.266,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-09T13:01:51.414531Z"
2,"1","2026-02-09T13:02:37.788331Z",2,43.133,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-09T13:02:37.788331Z"
3,"1","2026-02-09T13:02:51.830137Z",3,9.908,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-09T13:02:51.830137Z"
4,"1","2026-02-09T13:11:10.362124Z",4,494.628,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-09T13:11:10.362124Z"
5,"1","2026-02-09T13:12:06.911052Z",5,52.212,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-09T13:12:06.911052Z"
6,"1","2026-02-09T13:14:06.864729Z",6,114.922,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-09T13:14:06.864729Z"
7,"1","2026-02-09T13:14:18.432529Z",7,8.453,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-09T13:14:18.432529Z"
8,"1","2026-02-09T13:15:43.186286Z",8,10.362,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-09T13:15:43.186286Z"
9,"1","2026-02-09T13:16:12.307855Z",9,18.782,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-09T13:16:12.307855Z"
10,"1","2026-02-09T13:16:25.365069Z",10,9.123,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-09T13:16:25.365069Z"
11,"1","2026-02-09T13:16:44.953758Z",11,16.12,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Positive","2026-02-09T13:16:44.953758Z"
12,"1","2026-02-09T13:18:35.202564Z",12,105.003,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Negative","2026-02-09T13:18:35.202564Z"
13,"1","2026-02-09T13:21:54.930590Z",13,195.757,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Negative","2026-02-09T13:21:54.930590Z"
14,"1","2026-02-09T13:22:06.247511Z",14,7.543,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-09T13:22:06.247511Z"
15,"1","2026-02-09T13:22:18.901980Z",15,8.133,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-09T13:22:18.901980Z"
16,"1","2026-02-09T13:22:33.023959Z",16,9.753,"The direction was typical, but nothing special. Middle of the road entertainment.","Negative","2026-02-09T13:22:33.023959Z"
17,"1","2026-02-09T13:23:09.839778Z",17,32.588,"Total garbage. Zero stars if I could give it.","Negative","2026-02-09T13:23:09.839778Z"
18,"1","2026-02-09T13:23:36.772120Z",18,22.621,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-09T13:23:36.772120Z"
19,"1","2026-02-09T13:23:50.756343Z",19,8.243,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-09T13:23:50.756343Z"
20,"1","2026-02-09T13:24:03.704223Z",20,7.658,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-09T13:24:03.704223Z"
21,"1","2026-02-09T13:24:14.515351Z",21,5.753,"I have mixed feelings about this one. You won't remember it a week from now.","Neutral","2026-02-09T13:24:14.515351Z"
22,"1","2026-02-09T13:24:25.760633Z",22,6.896,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-09T13:24:25.760633Z"
23,"1","2026-02-09T13:34:30.185408Z",23,599.181,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-09T13:34:30.185408Z"
24,"1","2026-02-09T13:35:15.265950Z",24,40.134,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-09T13:35:15.265950Z"
25,"1","2026-02-09T13:35:43.990519Z",25,23.929,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-09T13:35:43.990519Z"
26,"1","2026-02-09T13:35:53.796446Z",26,4.731,"I have never been so bored in my life. Utterly disappointing.","Negative","2026-02-09T13:35:53.796446Z"
27,"1","2026-02-09T13:36:48.655761Z",27,47.968,"A refreshing take on a tired genre. Don't miss this one.","Positive","2026-02-09T13:36:48.655761Z"
28,"1","2026-02-09T13:37:16.219828Z",28,22.268,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","Negative","2026-02-09T13:37:16.219828Z"
29,"1","2026-02-09T13:37:27.271786Z",29,5.03,"What a complete waste of potential. It’s a hard pass from me.","Negative","2026-02-09T13:37:27.271786Z"
30,"1","2026-02-09T13:41:16.043338Z",30,225.001,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","Neutral","2026-02-09T13:41:27.015859Z"
31,"1","2026-02-09T13:42:04.162420Z",31,31.68,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","Negative","2026-02-09T13:42:04.162420Z"
32,"1","2026-02-09T13:42:23.799587Z",32,11.68,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","Neutral","2026-02-09T13:42:23.799587Z"
33,"1","2026-02-09T13:42:36.365497Z",33,7.096,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","Neutral","2026-02-09T13:42:36.365497Z"
34,"1","2026-02-09T13:42:49.014434Z",34,7.085,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","Negative","2026-02-09T13:42:49.014434Z"
35,"1","2026-02-09T13:43:18.404538Z",35,22.108,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","Neutral","2026-02-09T13:43:18.404538Z"
36,"1","2026-02-09T13:44:08.427480Z",36,44.664,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","Neutral","2026-02-09T13:44:08.427480Z"
37,"1","2026-02-09T13:45:05.168128Z",37,6.584,"It perfectly balances humor and drama. This movie is a triumph in every sense.","Positive","2026-02-09T13:45:05.168128Z"
38,"1","2026-02-09T13:45:23.115642Z",38,5.587,"A frustrating experience. Avoid this at all costs.","Negative","2026-02-09T13:45:23.115642Z"
39,"1","2026-02-09T13:46:17.474684Z",39,47.467,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","Negative","2026-02-09T13:46:17.474684Z"
40,"1","2026-02-09T13:46:37.343699Z",40,12.983,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","Positive","2026-02-09T13:46:37.343699Z"
41,"1","2026-02-09T13:46:55.130312Z",41,78.652,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","Neutral","2026-02-09T13:48:14.484824Z"
42,"1","2026-02-09T13:48:36.986011Z",42,16.752,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","Positive","2026-02-09T13:48:36.986011Z"
43,"1","2026-02-09T13:48:53.841424Z",43,10.621,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","Neutral","2026-02-09T13:48:53.841424Z"
44,"1","2026-02-09T13:49:16.795622Z",44,16.076,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","Neutral","2026-02-09T13:49:16.795622Z"
45,"1","2026-02-09T13:50:00.875587Z",45,37.589,"I am confused about how I feel. A polarizing experience for sure.","Neutral","2026-02-09T13:50:00.875587Z"
46,"1","2026-02-09T13:50:14.716512Z",46,7.743,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","Negative","2026-02-09T13:50:14.716512Z"
47,"1","2026-02-09T13:51:11.815018Z",47,13.751,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","Positive","2026-02-09T13:51:11.815018Z"
48,"1","2026-02-09T13:51:37.171384Z",48,18.563,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","Positive","2026-02-09T13:51:37.171384Z"
49,"1","2026-02-09T13:52:28.999338Z",49,44.942,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","Negative","2026-02-09T13:52:28.999338Z"
50,"1","2026-02-09T13:52:41.138533Z",50,7.583,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","Neutral","2026-02-09T13:52:41.138533Z"
51,"1","2026-02-09T13:52:50.161096Z",51,4.449,"An absolute joy to watch from start to finish. Two thumbs way up.","Positive","2026-02-09T13:52:50.161096Z"
52,"1","2026-02-09T13:53:28.977832Z",52,31.042,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.","Negative","2026-02-09T13:53:28.977832Z"
53,"1","2026-02-09T13:53:49.514751Z",53,16.407,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.","Negative","2026-02-09T13:53:49.514751Z"
54,"1","2026-02-09T13:54:07.328947Z",54,12.46,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.","Neutral","2026-02-09T13:54:07.328947Z"
55,"1","2026-02-09T13:54:21.552253Z",55,9.691,"Finally, a movie that respects the audience. Two thumbs way up.","Positive","2026-02-09T13:54:21.552253Z"
